siteid,latitude,longitude
0000,38.06428164,23.80935875
0001,37.98691622,23.72464819
0002,37.94754514,23.73908656
0003,37.96621039,23.74580958
0004,38.01738217,23.73678033
0005,37.99551544,23.67522383
0006,38.06723211,23.98301553
0007,38.32724119,23.73456158
0008,38.32116286,23.79724578
0009,38.2853425,23.71623447
0010,38.29672108,23.90277628
0011,38.28552269,23.88059133
0012,38.27548633,23.83340219
0014,38.24931981,23.74169683
0015,38.23358425,23.85548269
0016,38.21520603,23.87649725
0018,38.00501319,23.88396033
0019,38.19417886,23.855457
0020,38.13225453,23.19538058
0021,38.03109394,23.65540622
0022,38.19552708,23.3594735
0025,38.03729975,23.77500564
0026,38.06583625,23.51338289
0027,38.05128053,23.58757044
0028,37.96502864,23.57225647
0029,37.97219517,23.57728633
0030,37.96442153,23.62024853
0031,37.95407403,23.63105789
0032,37.93515789,23.64131142
0033,37.94693422,23.6472545
0034,37.95511386,23.67016994
0035,37.95773814,23.65153153
0036,37.96527778,23.65138889
0037,37.97353186,23.64806894
0038,37.99073817,23.66564267
0040,38.01401592,23.65981453
0041,38.00930175,23.69936806
0042,38.0325515,23.70986575
0043,38.038869,23.69183486
0044,38.05475583,23.72106067
0045,38.07916428,23.70430097
0046,38.08110844,23.73655053
0047,38.11335789,23.73710606
0048,38.12966297,23.75905011
0049,38.13780158,23.83290842
0050,38.12991575,23.85774464
0051,38.11200358,23.84280861
0052,38.09815789,23.80679064
0053,38.089358,23.80877089
0054,38.07458047,23.81415953
0055,38.05002531,23.83668658
0056,38.05505314,23.80715953
0057,38.04619211,23.80460394
0058,38.04999778,23.78849325
0059,38.05460889,23.76763264
0060,38.04422028,23.75427175
0061,38.02410933,23.80243714
0062,38.01273936,23.82676408
0063,38.01122047,23.84935264
0064,38.03285128,23.73628667
0065,38.02238572,23.75031314
0066,38.00777644,23.7770765
0067,38.01126783,23.72413364
0068,38.00400172,23.73237022
0069,37.99689956,23.73680294
0070,37.9947745,23.766777
0071,37.99822064,23.79678181
0072,37.99032986,23.75169728
0073,37.99479169,23.73142739
0074,37.99855417,23.71745697
0075,37.98641597,23.73449394
0076,37.98172928,23.73695058
0077,37.98325028,23.76352536
0078,37.97555675,23.74975439
0079,37.97949569,23.73303122
0080,37.98071992,23.72720839
0081,37.97823842,23.68537131
0082,37.97715319,23.71136133
0083,37.96520108,23.72596994
0084,37.96246633,23.75271481
0085,37.95972222,23.73277778
0086,37.95329981,23.70643981
0087,37.94713269,23.69394675
0088,37.94807161,23.71614278
0089,37.92904467,23.75044781
0090,37.89064969,23.75576722
0091,37.86666667,23.74583333
0092,37.84583333,23.765
0093,37.81696094,23.77964453
0094,38.00722222,23.88138889
0095,38.02611111,23.83388889
0096,38.11382725,23.98171486
0097,38.08619053,23.97785031
0098,37.94036853,23.94434436
0099,38.07138889,23.94166667
0100,38.06571936,23.85090861
0101,37.96886519,23.75145564
0102,37.97312425,23.73200419
0103,38.02152203,24.00748981
0104,38.02767897,23.99963633
0105,37.96955447,23.75921481
0106,37.76929508,21.29643022
0107,38.00241461,23.94098936
0108,37.99055419,23.84879692
0109,37.95438889,23.85452239
0110,37.96898722,23.91903347
0111,37.97361111,23.99722222
0112,37.97110239,24.00603969
0113,38.03454742,23.81892447
0114,37.92008956,24.02658536
0115,37.89225383,23.87339711
0116,37.88429931,23.93603286
0117,37.88774825,24.00443014
0118,37.9435865,24.01034378
0119,37.84536244,23.92849975
0121,37.80853394,23.97835772
0122,37.79667647,24.06447211
0124,37.71467939,24.05467367
0125,38.03024819,23.78971542
0126,37.67282342,24.02239294
0127,38.04122081,23.66263494
0128,37.93886103,23.80126981
0129,37.94386947,23.73357869
0130,37.72603342,23.45927228
0131,37.81385831,23.82701753
0132,37.82543406,23.80965561
0133,37.83790028,23.80010036
0134,38.10381664,23.67438778
0135,38.04321208,23.54171536
0136,38.33699631,23.7245865
0137,37.71086989,23.35045239
0139,37.98874914,23.76085447
0140,37.99040075,23.76519819
0141,37.98910092,23.75214028
0143,37.94476681,23.69409303
0144,37.98403081,23.71425714
0145,37.984799,23.73096722
0146,37.98117478,23.71924256
0147,37.98391689,23.75641608
0148,38.20438036,23.96466861
0149,37.97388814,23.73091006
0150,37.9675,23.73027778
0151,37.97272717,23.66482014
0152,37.98197806,23.73287694
0153,37.96235253,23.71086028
0154,37.96293203,23.72366189
0155,38.00325911,23.74242897
0156,37.95866622,23.73525561
0157,37.96761681,23.74915775
0159,37.95501931,23.71434853
0160,37.92166667,23.70194444
0161,38.07260825,23.82110378
0162,38.09551094,23.59587214
0163,37.98825389,23.76664281
0164,38.03927578,23.78752094
0165,37.75309597,23.92996503
0167,40.58927425,22.96141675
0168,38.02005383,23.80713147
0169,38.10933731,23.88088992
0170,37.9675,23.715
0171,37.97587792,23.72826325
0172,38.17349461,24.02382097
0173,37.79206639,23.88160694
0174,38.15595981,23.96478969
0175,37.95833822,23.76380906
0176,37.74856497,23.90893461
0177,37.67273017,24.04726031
0178,37.72695381,23.94599631
0179,38.09141372,23.79849347
0181,37.972086,23.62209744
0182,37.94766711,23.66671742
0183,37.94447553,23.64761278
0184,37.66028697,24.01650606
0185,37.96267658,23.65678253
0186,38.02116511,23.76860458
0187,37.896444,24.0423195
0188,37.96440881,23.69143064
0189,38.01805686,23.75539019
0190,37.97892364,23.63444131
0191,37.96954103,23.70008894
0192,37.99170297,23.68768342
0193,38.05432131,23.50273531
0194,38.13688711,23.40935064
0195,37.95800397,23.70139075
0196,37.83223197,23.86459906
0197,38.04906614,23.54288619
0198,37.98456678,23.74630122
0199,38.01278822,23.60595078
0200,37.87638889,23.75694444
0201,37.95958422,23.69992283
